=== РЕЗУЛЬТАТЫ ПОИСКА АССОЦИАТИВНЫХ ПРАВИЛ ===
Фиксированный порог поддержки (min_support): 1.0%

Порог достоверности (min_confidence): 10%
Время генерации: 0.0000 сек.
Найдено правил: 333
Найденные правила (антецедент -> консеквент):
  {макароны} -> {минеральная вода} | поддержка: 0.0612, достоверность: 0.3255
  {минеральная вода} -> {макароны} | поддержка: 0.0612, достоверность: 0.2567
  {шоколад} -> {минеральная вода} | поддержка: 0.0527, достоверность: 0.3214
  {минеральная вода} -> {шоколад} | поддержка: 0.0527, достоверность: 0.2209
  {яйца} -> {минеральная вода} | поддержка: 0.0509, достоверность: 0.2834
  {минеральная вода} -> {яйца} | поддержка: 0.0509, достоверность: 0.2136
  {молоко} -> {минеральная вода} | поддержка: 0.0480, достоверность: 0.3704
  {минеральная вода} -> {молоко} | поддержка: 0.0480, достоверность: 0.2013
  {говяжий фарш} -> {минеральная вода} | поддержка: 0.0409, достоверность: 0.4166
  {минеральная вода} -> {говяжий фарш} | поддержка: 0.0409, достоверность: 0.1717
  {шоколад} -> {макароны} | поддержка: 0.0408, достоверность: 0.2490
  {макароны} -> {шоколад} | поддержка: 0.0408, достоверность: 0.2170
  {говяжий фарш} -> {макароны} | поддержка: 0.0403, достоверность: 0.4098
  {макароны} -> {говяжий фарш} | поддержка: 0.0403, достоверность: 0.2142
  {яйца} -> {макароны} | поддержка: 0.0387, достоверность: 0.2151
  {макароны} -> {яйца} | поддержка: 0.0387, достоверность: 0.2057
  {молоко} -> {макароны} | поддержка: 0.0369, достоверность: 0.2850
  {макароны} -> {молоко} | поддержка: 0.0369, достоверность: 0.1965
  {картофель-фри} -> {яйца} | поддержка: 0.0364, достоверность: 0.2129
  {яйца} -> {картофель-фри} | поддержка: 0.0364, достоверность: 0.2025
  {замороженные овощи} -> {минеральная вода} | поддержка: 0.0357, достоверность: 0.3748
  {минеральная вода} -> {замороженные овощи} | поддержка: 0.0357, достоверность: 0.1499
  {шоколад} -> {картофель-фри} | поддержка: 0.0344, достоверность: 0.2099
  {картофель-фри} -> {шоколад} | поддержка: 0.0344, достоверность: 0.2012
  {блинчики} -> {минеральная вода} | поддержка: 0.0337, достоверность: 0.3548
  {картофель-фри} -> {минеральная вода} | поддержка: 0.0337, достоверность: 0.1973
  {минеральная вода} -> {блинчики} | поддержка: 0.0337, достоверность: 0.1415
  {минеральная вода} -> {картофель-фри} | поддержка: 0.0337, достоверность: 0.1415
  {шоколад} -> {яйца} | поддержка: 0.0332, достоверность: 0.2026
  {яйца} -> {шоколад} | поддержка: 0.0332, достоверность: 0.1847
  {молоко} -> {шоколад} | поддержка: 0.0321, достоверность: 0.2479
  {шоколад} -> {молоко} | поддержка: 0.0321, достоверность: 0.1961
  {зеленый чай} -> {минеральная вода} | поддержка: 0.0311, достоверность: 0.2351
  {минеральная вода} -> {зеленый чай} | поддержка: 0.0311, достоверность: 0.1303
  {молоко} -> {яйца} | поддержка: 0.0308, достоверность: 0.2377
  {яйца} -> {молоко} | поддержка: 0.0308, достоверность: 0.1714
  {картофель-фри} -> {макароны} | поддержка: 0.0301, достоверность: 0.1763
